ROUNDEL,TRANSCRIPTION,TRANSLATION,NUMBER_OF_LINES,REND
CRN387,[#1] Wilaf [#2] 1,Wiglaf 1,2,brown-double
CRN388,[#1] Ella [#2] 20,̠lla 20,2,brown-double
CRN389,[#1] Scissa,Scissa,1,brown-double
CRN390,[#1] Edelwold,̠thelwald,1,brown-double
CRN391,[#1] Adelbryth,̠thelbrith,1,brown-double
CRN392,[#1] XXXVII XXVI [#2] Egbrutus [#3] 37 annis 26 [#4] mensibus,XXXVII XXVI Egbert [reigned] 37 years 26 months,4,"[1] brown-double, [2] decorated"
CRN393,[#1] XVIII [#2] Edwol- [#3] phus [#4] 18,XVIII ̠thelwulf 18,4,brown-double
CRN394,[#1] Edboldus [#2] 5,̠thelbald 5,2,brown-double
CRN395,[#1] Edelbrith [#2] 5,̠thelbert 5,2,brown-double
CRN396,[#1] Edelred [#2] 6,̠thelred 6,2,brown-double
CRN397,[#1] XXX [#2] Alfredus [#3] 30,XXX Alfred 30,3,brown-double
CRN399,[#1] XXVI [#2] Edwardus [#3] 26,XXVI Edward 26,3,brown-double
CRN400,[#1] Nobiles [#2] filie,Noble daughters,2,brown-double
CRN401,[#1] Alfredus,Alfred,1,brown-double
CRN402,[#1] Edwydus [#2] qui submersus [#3] est,Edward who was drowned,3,brown-double
CRN403,[#1] Edredus,Eadred,1,brown-double
CRN404,[#1] Sanctus [#2] Edmun- [#3] dus,Saint Edmund,3,brown-double
CRN405,[#1] XIIII [#2] Athelsta- [#3] nus [#4] 14,XIIII ̠thelstan 14,4,brown-double
CRN406,[#1] Edmun- [#2] dus fratres [#3] a dimidio,Edmund [his] half brother.,3,brown-double
CRN407,[#1] Eadwinus,Eadwig,1,brown-double
CRN408,[#1] Edgarus,Edgar,1,brown-double
CRN409,[#1] X [#2] Edredus [#3] frater ejus [#4] 10,X Eadred his brother 10,4,brown-double
CRN410,[#1] Edwyn [#2] 5,Edwyn 5,2,brown-double
CRN411,[#1] XVI [#2] Edgarus [#3] 16,XVI Edgar 16,3,brown-double
CRN412,[#1] Sancta [#2] Editha,Saint Edith,2,brown-double
CRN414,[#1] Edwardus [#2] martyr [#3] 5,Edward the Martyr 5,2,brown-double
CRN415,[#1] Alredus frater [#2] Edwardi,̠thelred brother of Edward,1,brown-double
CRN416,[#1] Alfredus,Alfred,1,brown-double
CRN417,[#1] Eadem [#2] Emma,The same Emma,2,brown-double
CRN418,[#1] Edmundus [#2] Irenside,Edmund Ironside,2,brown-double
CRN419,[#1] Idem [#2] Edmundus [#3] Irenside,The same Edmund Ironside,3,brown-double
CRN420,[#1] Edwydus [#2] exul,Edward the Exile,2,brown-double
CRN422,[#1] Edgarus [#2] Ethelyng,Edgar ̠theling,2,brown-double
CRN423,[#1] Marga- [#2] reta regina [#3] Scotie,Margaret queen of Scotland,3,brown-double
CRN424,[#1] Cristina [#2] sanctimoni [#3] alis,Christina the nun,3,brown-double
CRN425,[#1] Matil- [#2] da filia [#3] ejus,Matilda her daughter,3,brown-double
CRN426,[#1] Marga- [#2] reta filia [#3] matilda [sic: Agatha],Margaret daughter of Matilda [sic: Agatha],3,?
CRN427,[#1] Matil- [#2] da filia [#3] ejus,Matilda her daughter,3,brown-double
CRN428,[#1] Knutus,Cnut,1,brown-double
CRN429,[#1] Emma,Emma,1,?
CRN430,[#1] Sweyn [#2] danus,Sweyn the Dane,2,?
CRN431,[#1] Haraldus [#2] hareforth,Harold Harefoot,2,brown-double
CRN432,[#1] Hardeknu- [#2] tus frater,Harthacnut [his] brother,2,brown-double
CRN433,[#1] Sanctus [#2] Edwardus [#3] Confessor,Saint Edward the Confessor,3,"[1] brown-double, [2] decorated, [3] rubricated"
CRN434,[#1] Haraldus [#2] 9 mensibus,Harold [reigned] 9 months,2,brown-double
CRN435,[#1] XXI [#2] Willelmus [#3] Conquestor [#4] 21,XXI William the Conqueror 21,4,"[1] brown-double, [2] decorated, [3] rubricated"
CRN436,[#1] Quatuor [#2] alie filie,Four other sons,2,brown-double
CRN437,[#1] Adala [#2] uxor comitis [#3] Blesensis,Adela wife of the Count of Blois,3,brown-double
CRN438,[#1] Stepha- [#2] nus,Stephen,2,?
CRN439,[#1] Henricus [#2] clericus,Henry the Cleric,2,brown-double
CRN440,[#1] Ricardus [#2] qui obitt [#2] juvenis,Richard who died young,3,?
CRN441,[#1] XIIII [sic: XII] [#2] Willelmus [#3] Rufus [#4] 12,XIIII [sic: XII] William Rufus 12,4,brown-double
CRN442,[#1] Robertus [#2] courthu- [#3] se,Robert Curthose,3,?
CRN443,[#1] XXXV [#2] Henricus [#3] primus [#4] 35,XXXV Henry I 35,4,brown-double
CRN444,[#1] Matilda [#2] imperatrix,Matilda the Empress,2,brown-double
CRN445,[#1] Una [#2] filia sub- [#3] mersa,One daughter drowned,3,brown-double
CRN446,[#1] Willelmus [#2] submersus,William drowned,2,brown-double
CRN447,[#1] Robertus [#2] submersus,Robert drowned,2,brown-double
CRN448,[#1] XIX [#2] Idem [#3] Stephanu [#4]  Blesensis [#5] 19,XIX The same Stephen of Blois 19,5,brown-double
CRN449,[#1] XXXV [#2] Henricus [#3] Secondus [#4] 35,XXXV Henry II 35,4,brown-double
CRN450,[#1] Comitis- [#2] sa tholo- [#3] se,The Countess of Toulouse,3,brown-double
CRN451,[#1] Eleno- [#2] ra regina  [#3] castelle,Eleanor queen of Castile,3,brown-double
CRN452,[#1] Johannes,John,1,brown-double
CRN453,[#1] Matil- [#2] da ducissa  [#3] Saxonis [#4] et Sardis,Matilda duchess of Saxony and Sardis,4,brown-double
CRN454,[#1] Henricus [#2] dux Sax- [#3] onie,Henry duke of Saxony,3,brown-double
CRN455,[#1] Octes [#2] Imperator,Otto the Emperor,2,brown-double
CRN456,[#1] Galfri- [#2] dus dux [#3] Britannie,Geoffrey duke of Brittany,3,brown-double
CRN457,[#1] Arthurus [#2] dux Brittan- [#3] nie,Arthur duke of Brittany,3,brown-double
CRN458,[#1] X [#2] Ricardus [#3] primus [#4] 10,X Richard I 10,4,brown-double
CRN459,[#1] Henricus [#2] junior [#3] elegans,Elegant Henry the Younger,3,brown-double
CRN460,[#1] Willelmus [#2] qui statim [#3] obiit,William who died immediately,3,brown-double
CRN461,[#1] XVII [#2] Johannes [#3] 17,XVII John 17,3,brown-double
CRN462,[#1] Johanna [#2] regina [#3] Scotie,Joan queen of Scotland,3,brown-double
CRN463,[#1] Elieno- [#2] ra comitessa [#3] Pembroche,Eleanor countess of Pembroke,3,brown-double
CRN464,[#1] Isabella [#2] imperatrix [#3] uxor Fre- [#4] derici,Empress Isabella wife of Frederick [II],4,brown-double
CRN465,[#1] Ricardus [#2] rex alma [#3] nie,Richard king of Germany,3,brown-double
CRN466,[#1] Edmun- [#2] dus dux [#3] Cornubie,Edmund duke of Cornwall,3,brown-double
CRN467,[#1] Henricus [#2] de alma- [#3] nia,Henry of Germany,3,brown-double
CRN468,[#1] LVII [#2] Henricus [#3] tertius [#4] 57,LVII Henry III 57,4,brown-double
CRN469,[#1] Henricus [#2] qui jacet [#3] Westmonastri,Henry who lies at Westminster,3,brown-double
CRN470,[#1] Willelmus [#2] qui sepultus- [#3] est in templo,William who is buried in the Temple,3,brown-double
CRN471,[#1] Johannes [#2] qui jacet [#3] Westmonastri,John who lies at Westminster,3,brown-double
CRN472,[#1] Ricardus [#2] qui apud West- [#3] monastri,Richard who is [buried] at Westminster,3,brown-double
CRN473,[#1] Katrina [#2] que cito [#3] abiit,Katherine who died before long,3,brown-double
CRN474,[#1] Beatrix,Beatrix,1,brown-double
CRN475,[#1] Edmundus,Edmund,1,brown-double
CRN476,[#1] Marga- [#2] reta,Margaret,2,brown-double
CRN477,[#1] XXXIIII [#2] Edwar- [#3] dus primus [#4] 34,XXXIIII Edward I 34,4,brown-double
CRN478,[#1] Marga- [#2] reta secunda [#3] uxor,Margaret [his] second wife,3,N/A
CRN479,[#1] Elenora,Eleanor,1,N/A
CRN480,[#1] Edm- [#2] undus co- [#3] mes kan- [#4] tie,Edmund Earl of Kent,4,N/A
CRN481,[#1] Thomas [#2] comes Manchall- [#3] ie,Thomas Earl Marshal,4,N/A
CRN482,[#1] Eleano- [#2] ra prima [#3] uxor,Eleanor [his] first wife,3,N/A
CRN483,[#1] Eleano- [#2] ra comitissa [#3] de Barr...[illegible],Eleanor countess of,3,brown-double
CRN484,[#1] Johanna [#2] comitissa de [#3] gloucester,Joan countess of Gloucester,3,brown-double
CRN485,[#1] Johanna,Joan,1,brown-double
CRN486,[#1] Henricus,Henry,1,brown-double
CRN487,[#1] Margareta [#2] ducissa bra- [#3] bantie,Margaret duchess of Brabant,3,brown-double
CRN488,[#1] Margare- [#2] ta,Margaret,2,brown-double
CRN489,[#1] Elizabeth [#2] comitissa [#3] de Herford,Elizabeth countess of Hereford,3,brown-double
CRN490,[#1] Maria [#2] monacha [#3] de Amis- [#4] bery,Maria a nun of Amesbury,4,brown-double
CRN491,[#1] Elizabeth [#2] comitissa de [#3] Honiland,Elizabeth countess of Holland,3,brown-double
CRN492,[#1] XX [#2] Edwar- [#3] dus karna- [#3] vian [#4] 20,XX Edward of Caernafon 20,4,brown-double
CRN493,[#1] Henricus,Henry,1,brown-double
CRN494,[#1] Beatrix,Beatrix,1,brown-double
CRN495,[#1] Blanchia,Blanche,1,brown-double
CRN496,[#1] Elieno- [#2] ra comitissa [#3] de golda- [#4] ra,Eleanor countess of Guelders,4,brown-double
CRN497,[#1] Johanna [#2] regina [#3] Scotie,Joan queen of Scotland,3,brown-double
CRN498,[#1] Johannes [#2] otham co- [#3] mes cor- [#4] nubie,"John of Eltham, earl of Cornwall",4,brown-double
CRN499,[#1] LII [sic: L] [#2] Edwardus [#3] tertius [#4] 50,LII [sic: L] Edward III 50,4,brown-double
CRN500,[#1] Edwar- [#2] dus princeps [#3] Wallie,Edward prince of Wales,3,brown-double
CRN501,[#1] Edwardus,Edward,1,brown-double
CRN502,[#1] XXIII [#2] Ricardus [#3] Secundus [#4] 23,XXIII Richard II 23,4,red-double
CRN503,[#1] Isabella [#2] comitissa de [#3] Bedford,Isabella countess of Bedford,3,brown-double
CRN504,[#1] Johanna [#2] regina [#3] hispanie,Joan queen of Spain,3,brown-double
CRN505,[#1] Williamus [#2] Hatfeld,William of Hatfield,2,brown-double
CRN506,[#1] Leonel [#2] dux cla- [#3] rencie,Lionel duke of Clarence,3,brown-double
CRN507,[#1] Philippa [#2] nupta [#3] comiti [#4] March,Philippa married to the earl of March,4,red-filled
CRN508,[#1] Johannes [#2] dux Lan- [#3] castrie,John duke of Lancaster,3,brown-double
CRN509,[#1] Domina [#2] Blanche [#3] prima uxor,Lady Blanche [his] first wife,3,brown-double
CRN510,[#1] Johannes,John,1,brown-double
CRN511,[#1] Edwar- [#2] dus,Edward,2,brown-double
CRN512,[#1] Philippa [#2] regina por- [#3] tyngalie,Philippa queen of Portugal,3,brown-double
CRN513,[#1] Edwardus,Edward,1,brown-double
CRN514,[#1] Petrus,Peter,1,brown-double
CRN515,[#1] Henricus,Henry,1,brown-double
CRN516,[#1] Alexan- [#2] dir,Alexander,2,brown-double
CRN517,[BLANK],[BLANK],0,brown-double
CRN518,[#1] Elizabeth [#2] comitissa [#3] huntyngdon,Elizabeth countess of Huntingdon,3,red-filled
CRN519,[#1] XIIII [#2] Henricus [#3] quartus [#4] 14,XIIII Henry IV 14,4,red-filled
CRN520,[#1] Johannes,John,1,brown-double
CRN521,[#1] Constantia [#2] 2m uxor,Constance [his] second wife,2,brown-double
CRN522,[#1] Katrina [#2] regina [#3] hispanie,Katherine queen of Spain,3,brown-double
CRN523,[#1] Katrina [#2] Sanfor- [#3] die 3a uxor,Katherine Swynford [his] third wife,3,brown-double
CRN524,[#1] Johannes [#2] comes [#3] somersed,John earl of Somerset,3,brown-double
CRN525,[#1] Comes [#2] somersed,Count of Somerset,2,brown-double
CRN526,[#1] Thomas,Thomas,1,brown-double
CRN527,[#1] Johannes [#2] comes [#3] somersed,John earl of Somerset,3,brown-double
CRN528,[#1] Edmun- [#2] dus comes [#3] de mor- [#4] ten,Edmund count of Mortain,4,brown-double
CRN529,[#1] Johanna [#2] regina [#3] Scotie,Joan queen of Scotland,3,brown-double
CRN530,[#1] Margareta [#2] comitissa [#3] devonie,Margaret countess of Devon,4,brown-double
CRN531,[#1] Johanna [#2] comitissa [#3] Westmor- [#4] landie,Joan countess of Westmoreland,4,brown-double
CRN532,[BLANK],[BLANK],0,brown-double
CRN533,[#1] Ricardus [#2] comes [#3] sarum,Richard earl of Salisbury,3,brown-double
CRN534,[#1] Robertus [#2] episcopus [#3] Sarum,Robert bishop of Salisbury,3,brown-double
CRN535,[BLANK],[BLANK],0,brown-double
CRN536,[BLANK],[BLANK],0,brown-double
CRN537,[BLANK],[BLANK],0,brown-double
CRN538,[BLANK],[BLANK],0,brown-double
CRN539,[#1] Henricus [#2] cardinal,Henry the cardinal,2,brown-double
CRN540,[#1] Thomas [#2] dux ex- [#3] onie,Thomas duke of Exeter,3,brown-double
CRN541,[#1] Edmun- [#2] dus dux [#3] eboraci [#4] langley,"Edmund of Langley, duke of York",4,brown-double
CRN542,[#1] Edwar- [#2] dus dux [#3] eboraci,Edward duke of York,3,brown-double
CRN543,[#1] Ricardus [#2] comes [#3] cantabri- [#4] gie,Richard earl of Cambridge,4,red-filled
CRN544,[#1] Domina [#2] Matilda [#3] de clyfford [#4] 2m uxor,Lady Matilda of Clifford [his] second wife,4,red-filled
CRN545,[BLANK],[BLANK],0,red-single
CRN546,[#1] Ricardus [#2] dux eboraci [substitute est] [#3] et comes [#4] merchall,Richard duke of York [substituted as] earl of March,4,brown-double
CRN547,[#1] Blanchia,Blanche,1,brown-double
CRN548,[#1] Maria [#2] ducissa [#3] de britan- [#4] nie,Mary duchess of Brittany,4,brown-double
CRN549,[#1] Margareta [#2] comitissa [#3] pembrochie,Margaret countess of Pembroke,4,brown-double
CRN550,[#1] Willelmus [#2] Wynde- [#3] sore,William of Windsor,3,brown-double
CRN551,[#1] Thomas [#2] dux glou- [#3] cestrie,Thomas duke of Gloucester,3,brown-double
CRN552,[#1] Anna [#2] comitissa [#3] Staffordie,Anne countess of Stafford,3,N/A
CRN553,[#1] Philippa,Philippa,1,brown-double
CRN554,[#1] Comes [#2] Stafford,Earl of Stafford,2,brown-double
CRN555,[#1] Anna [#2] comitissa [#3] huntyngdon,Anne countess of Huntingdon,3,brown-double
CRN556,[#1] Henricus [#2] comes [#3] de Essex,Henry earl of Essex,3,brown-double
CRN557,[#1] Williamus,William,1,brown-double
CRN558,[#1] Thomas,Thomas,1,brown-double
CRN559,[#1] Johannes,John,1,brown-double
CRN560,[#1] Anna,Anne,1,brown-double
CRN561,[#1] Margare- [#2] ta,Margaret,2,brown-double
CRN562,[#1] Thomas [#2] dux clar- [#3] enchie,Thomas duke of Clarence,3,brown-double
CRN563,[#1] Johannes [#2] dux bed- [#3] fordie,John duke of Bedford,3,brown-double
CRN564,[#1] Humfridus [#2] dux glo- [#3] ucestrie,Humphrey duke of Gloucester,3,brown-double
CRN565,[#1] Blan- [#2] chia im- [#3] peratrix,The Empress Blanche,3,brown-double
CRN566,[#1] Philippa [#2] regina de- [#2] nmarchie,Philippa queen of Denmark,3,brown-double
CRN567,[#1] X [#2] Henricus [#3] quintus [#4] 10,X Henry V 10,4,"[1] brown-double, [2] decorated"
CRN568,[#1] Henricus [#2] sextus [#3] XXXIX,Henry VI XXXIX,3,red-filled
CRN569,[#1] Hugo [#2] mortymer,Hugh de Mortimer,2,red-filled
CRN570,[#1] Rogerus [#2] mortymer,Roger de Mortimer,2,red-filled
CRN571,[#1] Radulphus [#2] mortymer,Ralph de Mortimer,2,red-filled
CRN572,[#1] Rogerus [#2] mortymer,Roger Mortimer,2,red-filled
CRN573,[#1] Edmundus [#2] mortymer,Edmund Mortimer,2,red-filled
CRN574,[#1] Rogerus [#2] primus comes [#3] marchie,Roger first earl of March,3,red-filled
CRN575,[#1] Edmundus [#2] comes [#3] marchie,Edmund earl of March,3,red-filled
CRN576,[#1] Rogerus [#2] comes [#3] marchie,Roger earl of March,3,red-filled
CRN577,[#1] Edmundus [#2] comes [#3] marchie [CRC136: nupta Philippa],Edmund earl of March [CRC136: married to Philippa],3,red-filled
CRN578,[#1] Aliciam [sic: Elizabeth]  [#2] nupta [#3] comiti [#4] northumber- [#5] lande,Elizabeth [who] married the earl of Northumberland,5,red-filled
CRN579,[#1] Rogerus [#2] comes [#3] march,Roger earl of March,3,red-filled
CRN580,[#1] Rogerum [#2] secundum filium qui [#3] decesessit [sic: decessit] sine [#4] herede ante dictum [#5] Edmundum [#6] fratem suum,Roger the second son who died without heir before the named Edmund his brother,6,red-filled
CRN581,[#1] Edmund- [#2] us comes [#3] march [#4] sine hered,Edmund earl of March without heir,4,red-filled
CRN582,[#1] Anna [#2] nupti [#3] comiti [#4] cantabrigie,Anne [who] married the earl of Cambridge,4,red-filled
CRN583,[#1] Elizabeth [#2] nupta domino [#3] Burghchier,Elizabeth married lord Burghchier,3,red-filled
CRN584,[#1] Ricardum [#2] ducem ebor [#3] heredom regni [#4] anglie francie [#5] et hispanie,Richard duke of York heir of the kingdoms of England France and Spain,5,red-double decorated
CRN585,[#1] Cecilia [#2] uxor istius [#3] Ricardi [ducis #4] Eboraci,Cecily wife of that Richard duke of York,4,red-double
CRN586,[#1] Anna [#2] ducissa [#3] Exoniesis,Anne duchess of Exeter,3,red-double
CRN587,[#1] Elizabeth [#2] ducissa [#3] suthfolchie,Elizabeth duchess of Suffolk,3,red-double
CRN588,[#1] Margareta [#2] ducissa [#3] Burgundie,Margaret duchess of Burgundy,3,red-double
CRN589,[#1] Edwardum [#2] Quartum [#3] XXIII,Edward IV XXIII,3,red-double decorated
CRN590,[#1] Edmundus [#2] comes [#3] rothlandi,Edmund earl of Rutland,3,red-double
CRN591,[#1] Georgius [#2] dux claren- [#3] tie,George duke of Clarence,3,red-double
CRN592,[#1] Ricardus [#2] ducem [#3] Gloucestrie,Richard duke of Gloucester,3,red-double
CRN593,[#1] Alicia [sic: Eleanora] que [#2] erat maritata [#3] Edwardo domino [#4] de Bonis [sic: Edward de Courtenay] qui decessit [#5] sine herede [#6] de corpore sui,Eleanor who was married to lord Edward de Bonis [sic: Edward de Courtenay] who died without heir of his body,6,red-filled
CRN594,[#1] Comes [#2] Ultonie,Earl of Ulster,2,red-filled
CRN595,[#1] Anna [#2] heredem [#3] Ultonie,Anne heir of Ulster,3,red-filled
CRN596,[#1] Rex [#2] petrus [#3] hispanie,Peter king of Spain,3,red-filled
CRN597,[#1] Constantia [#2] prima filia,Constance,2,red-filled
CRN598,[#1] Isabella [#2] heredem [#3] hispanie,Isabella heir of Spain,3,red-filled
CRN599,[#1] Sanctus [#2] Ludovi- [#3] cus,Saint Louis,3,brown-double
CRN600,[#1] Philippus [#2] ejus filius,Philip his son,2,brown-double
CRN601,[#1] Philippus [#2] pulcher,Philip the Fair,2,brown-double
CRN602,[#1] Lodovicus [#2] hutyn,Louis the Headstrong,2,brown-double
CRN603,[#1] Johannes [#2] posthumous,John the Posthumous,2,brown-double
CRN604,[#1] Idem [#2] philippus,The same Philip,2,brown-double
CRN605,[#1] Idem [#2] karolus,Charles,2,brown-double
CRN606,[#1] Idem [#2] Johannes,The same John,2,brown-double
CRN607,[#1] Philippus [#2] longue,Philip the Tall,2,brown-double
CRN608,[#1] Karolus [#2] pulcher,Charles the Fair,2,brown-double
CRN609,[#1] Isabella [#2] uxor,Isabella,2,brown-double
CRN610,[#1] Karolus [#2] de valoys,Charles of Valois,2,brown-double
CRN611,[#1] Johannes,John,1,brown-double
CRN612,[#1] Rollo qui [#2] et Robertus [#3] dictus est post [#4] baptismum,Rollo who was called Robert after baptism,4,brown-double
CRN613,[#1] Williamus [#2] longa [#3] sparta,William Longsword,3,brown-double
CRN614,[#1] Ricardus [#2] sine timore,Richard the Fearless,2,brown-double
CRN615,[#1] Emma,Emma,1,brown-double
CRN616,[#1] Eadem [#2] Emma,The same Emma,2,brown-double
CRN617,[#1] Ricardus [#2] secondus,Richard II,2,brown-double
CRN618,[#1] Ricardus [#2] tertius,Richard III,2,brown-double
CRN619,[#1] Frater Robertus,[His] brother Robert,2,brown-double
CRN620,[#1] Ricardus,Richard,1,brown-double
CRN621,[#1] Idem [#2] Robertus,The same Robert,2,brown-double
CRN622,[#1] Willelmus [#2] nothus,William the Bastard,2,brown-double
MARN100,[#1] Troius,Trojus,1,brown-double
